beername,active,rbid,rbbrewer,alcohol,description
Alt-Bamberg Dunkel,1,9893,586,4.8,
Kaiserdom Rauchbier,0,3387,586,5.9,
Kaiserdom German Dark Lager,1,121047,586,4.7,
Weizenland Weissbier Hefetrub,1,9892,586,5.4,
Kaiserdom Winterbock,1,243740,586,7.5,
Domfürsten Bier Export,1,126788,586,5.2,
Angermann Hefe-Weissbier,1,39298,586,5.1,
Bürgerbräu Bamberg Kellerbier,1,133664,586,4.8,
Domfürsten Bier Dunkel,1,126789,586,5,
Angermann Hefe-Weissbier Dunkel,1,39333,586,5.1,
Angermann Radler,1,55589,586,2.4,
Angermann Pils,1,41536,586,4.9,
Kaiserdom Prostel,1,15375,586,0.4,
Domfürsten Bier Keller,1,126786,586,4.8,
Alt-Bamberg Weissbier Alkoholfrei,1,246922,586,0.5,
Oberburger Weisse Premium,1,61314,586,4.9,
Bürgerbräu Bamberg Urtyp Hell,1,32390,586,4.7,
Angermann Spezial,1,123201,586,5.4,
Veldensteiner Landbier,1,15560,2545,5.4,
Veldensteiner Weißbier,1,14334,2545,5.1,
Veldensteiner Premium Pils,1,33062,2545,4.9,
Veldensteiner Zwickl,1,38448,2545,5.4,
Kaiser Weisse &#40;Germany&#41;,1,26397,2545,5.2,
Veldensteiner Radler,1,49277,2545,2.5,
Grafensteiner Pils,1,80657,2545,4.7,
Veldensteiner Dunkles Weißbier,1,97867,2545,5.4,
Adelsdorfer Hefeweizen,1,188849,2545,5.1,
Wiesenbacher Landbier Bernstein,1,52850,2545,5.4,
Veldensteiner Bierwerkstatt Castle Reserve,1,187363,2545,6.1,
Kaiser Weizen &#40;Germany&#41;,1,26396,2545,5.2,
Veldensteiner Festbier,1,49270,2545,6,
Grafensteiner Hell,1,66519,2545,4.8,
Grafensteiner Export,1,80617,2545,5.2,
Adelsdorfer Pils,1,188850,2545,4.8,
Wiesenbacher Original Pils,1,58340,2545,4.8,
Kaiser Hell &#40;Germany&#41;,1,24407,2545,4.9,
Kaiser Pils &#40;Germany&#41;,1,15298,2545,4.8,
Kaiser Alkoholfrei &#40;Germany&#41;,1,49269,2545,0,
Kaiser Export &#40;Germany&#41;,1,49268,2545,5.6,
Veldensteiner Bierwerkstatt Mandarina Bavaria,1,233769,2545,5.2,
Grafensteiner Alt,1,124672,2545,4.8,
Veldensteiner Räucherl,1,68110,2545,5.4,
Kaiser Radler &#40;Germany&#41;,1,49267,2545,2.5,
Kaiser Light,1,21964,2545,2.5,
Lüttjes Weissbier Hefe Hell,1,74126,2545,5.2,
Veldensteiner Leichtes Weissbier,1,119410,2545,2.9,
Kaiser Jura Gold Märzen,1,146985,2545,5.9,
Grafensteiner Radler,1,126685,2545,2.1,
Wiesenbacher Weissbier,1,39441,2545,5.3,
Veldensteiner Weißbier Alkoholfrei,1,120545,2545,0.01,
Veldensteiner Bierwerkstatt IPA,1,270433,2545,6.9,
Kaiser Kellerbier,1,178324,2545,4.9,
Adelsdorfer Helles,1,188848,2545,4.9,
Veldensteiner Bierwerkstatt Imperial Pils,1,293751,2545,6.3,
Frei.Bier,1,200897,2545,5,
Adelsdorfer Export,1,188851,2545,5.6,
Veldensteiner Original Lager,1,39728,2545,4.9,
Wiesenbacher Landbier,1,39443,2545,5.4,
Kaiserhöfer Schmäußbräu,1,73444,6338,4.5,
Kaiserhof Naturtrübe Pilsner,1,298891,6338,4.8,
Kaiserhöfer Lucas Cranach Lagerbier,1,52679,6338,4.5,
Kaiserhof Schwedentrunk Dunkles Spezialbier,1,52668,6338,5.2,
Kaiserhof Pilsner Premium,1,60525,6338,4.8,
Kaiserhof Weisser Kaiser Hefeweizen Hell,1,74189,6338,5.3,
Kaiserhöfer Mehrkorn-Bier,1,281929,6338,5.4,
Kaiserhof Schwarzer Kaiser Hefeweizen Dunkel,1,52796,6338,5.3,
Kaiserhof Radler,1,159202,6338,2.5,
Kaiserhof Kellerbier,1,52674,6338,4.5,
Kaiserhöfer Keller-Äffla Urhell,1,106355,6338,4.5,
Kaiserhof Kronator Dunkler Doppelbock,1,131606,6338,7.5,
Karmeliter Radler,1,309174,6013,2.3,
Karmeliter Lagerbier,1,73467,6013,4.8,
Karmeliter Edel-Pils,1,73464,6013,4.8,
Karmeliter Jubiläums-Festbier,1,73465,6013,5.2,
Karmeliter Ur-Märzen,1,99584,6013,5.4,
Karmeliter Export,1,48276,6013,5.2,
Karmeliter Klostertrunk,1,107677,6013,4.7,
Karmeliter Weissbier,1,73466,6013,5.4,
Karmeliter Kupferbier,1,86538,6013,4.9,
Karmeliter Rhöner Dunkel,1,48277,6013,5.2,
Kathi-Bräu Dunkles Lagerbier,1,50959,6221,4.8,
Kathi-Bräu Leichtes Dunkel,1,94059,6221,0,
Kathi-Bräu Dunkles Bockbier,1,130086,6221,0,
Kauzen Weißbierpils,0,145144,3179,5,
Kauzen Winter-Weisse,1,35083,3179,7.1,
Kauzen Bayerisch Hell,1,159553,3179,4.8,
Kauzen Pils,1,33462,3179,5,
Kauzen Weissbier Hell,1,35074,3179,5,
Wolf-Bier Helles,1,272674,3179,4.9,
Kauzen Original 1809,1,19298,3179,5.2,
Kauzen Käuzle,1,44019,3179,4.8,
Kauzen Natürliches Radler,1,226307,3179,2.4,
Kauzen Weissbier Dunkel,1,35081,3179,5,
Kauzen Käuzle 7.1,1,115800,3179,7.1,
Bräu Radler &#40;MGV&#41;,1,187684,3179,2.7,
Arnegger Alkoholfrei,1,35088,3179,0,
Wolf-Bier Weißbier,1,280233,3179,5,
Fuchsstadter Weissbier,1,25991,3179,5.2,
Kauzen Festbier,1,35084,3179,5.8,
Kauzen Bock,1,35085,3179,7.1,
Kauzen Weissbier Alkoholfrei,1,227627,3179,0,
Wolf-Bier Franken Urbräu,1,185106,3179,4.9,
Kauzen Käuzle Citro,1,185263,3179,1.9,
Wirt’s-Bräu Pilsner,1,47276,3179,4.8,
Bräu Wirts Urtyp,1,87393,3179,4.8,
Kauzen Russ,1,82388,3179,0,
Kauzen Alkoholfrei,1,263484,3179,0,
Fuchsstadter Wolf Pils,1,26000,3179,4.9,
Kauzen Radler,1,35082,3179,2.7,
Bräu Wirts Weissbier,1,47115,3179,4.8,
Kauzen Kellerbier Naturtrüb,1,105383,3179,4.9,
Wolf-Bier Fränkische Land-Weisse,1,178309,3179,5.1,
Kauzen Käuzle Lemon,1,141710,3179,2.3,
Kauzen Helles Landbier,1,35080,3179,4.8,
Kauzen Kristall Weizen,1,35087,3179,0,
Kauzen Alt Fränkisch,1,35086,3179,5.1,
Wolf-Bier Pils,1,271348,3179,4.9,
Sudmeister Hopfen Gaudi,1,195806,3179,4.9,
Sudmeister Bayerisches Hausbrauerbier,1,194828,3179,4.8,
Keiler Land-Pils,1,115694,1849,4.9,
Lohrer Winter Keiler,0,52116,1849,4.9,
Lohrer Böckle,0,34016,1849,7,
Keiler Urtyp 1878,1,18006,1849,5.2,
Keiler Export,1,56696,1849,5.2,
Keiler Weissbier Hell,1,10181,1849,5.2,
Keiler Pils,1,11051,1849,4.9,
Keiler Weissbier Dunkel,1,10799,1849,5.2,
Lohrer Schwarze,0,56689,1849,5.2,
Keiler Kellerbier,1,211840,1849,5.4,
Stenger’s Bembelchen Apfelwein Speierling,1,250132,18798,5,
Stenger’s Bembelchen Apfelwein Klar,1,251286,18798,5.5,
Stenger’s Bembelchen Apfelwein Maturtrüb,1,196324,18798,5.5,
Stenger’s Bembelchen Bio-Apfelwein,1,251287,18798,5.5,
Schorschbräu Schorschbock 31% Black Edition,0,132559,1506,31,
Schorschbräu Schorschbock 13%,1,105212,1506,13,
Schorschbräu Hell,0,34952,1506,5,
Schorschbräu Schorschbock Geburtstagsbock 18%,1,252895,1506,18,
Schorschbräu Schorschbock 40%,0,115941,1506,39.44,
Schorschbräu Schorschbock Ice 20 Dunkler Eisbock,1,156640,1506,20,
Schorschbock Ice30%,1,204492,1506,30,
Schorschbräu Schorschbock 16%,1,87119,1506,16,
Schorschbräu Schorschbock 43%,1,122524,1506,43.38,
Schorschbräu Schorschbock 57% finis coronat opus,1,154245,1506,57.7,
Schorschbräu Schorschweizen 16%,1,105221,1506,16,
Schorschbräu Schorschbock 31%,1,97069,1506,30.86,
Schorschbräu Schorschbock Ice 13 Dunkler Weihnachts Eisbock,1,295306,1506,13,
Schorschbräu Schorschweizen 13%,1,105216,1506,13,
Schorschbräu Schorschbock Ice 13 Dunkler Eisbock,1,132936,1506,13,
Schorschbräu Dunkel,0,62988,1506,5,
Klosterbräu Maibock Hell,1,11969,1815,7,
Klosterbräu Brauns Weisse,1,11968,1815,4.9,
Klosterbräu Bamberger Gold Pils,1,17668,1815,5,
Klosterbräu Schwärzla,1,10082,1815,4.9,
Klosterbräu Bamberger Braunbier,1,11970,1815,5.7,
Klosterbräu Bockbier Hell,1,21855,1815,7,
Klosterbräu Schwärzla Bock,1,21896,1815,7,
Kloster Kreuzberg Dunkel,1,31267,4421,5.4,
Kloster Kreuzberg Pils,1,60028,4421,5.6,
Kloster Kreuzberg Bock,1,103126,4421,7.6,
Kloster Kreuzberg Helles Hefe-Weizen,1,60450,4421,5.6,
Klosterbrauerei Kreuzberg Weihnachts-Bock,1,161376,4421,7.3,
Münnerstadt Kloster Pils,1,48460,3104,4.7,
Münnerstadt Kloster Urstoff,1,18570,3104,5.4,
Weißenoher Bonifatius Dunkel,1,98764,3892,5.1,
Weißenoher Eucharius Märzen,1,64432,3892,5.2,
Weißenoher Bonator,1,98666,3892,8.2,
Weißenoher Pils,1,120540,3892,4.9,
Weißenoher Monk’s Christkindl,1,304679,3892,7.1,
Weißenoher Klosterweizen,1,91545,3892,5.2,
Weißenoher Minnesänger Wolfram von Eschenbach,1,54498,3892,5,
Weißenoher Export Dunkel,1,70877,3892,5,
Starter Pils,1,146647,3892,5,
Weißenoher Keller Pils,1,220328,3892,0,
Weißenoher Classic Export,1,31458,3892,5,
Weißenoher Benediktiner Pils Premium,1,75855,3892,4.9,
Weißenoher Zwickel Pils,1,204289,3892,5.2,
Weißenoher green MONKey Polaris,1,253122,3892,5.8,
Weißenoher Gruit Bier,1,204095,3892,7.1,
Weißenoher green MONKey Mandarina,1,252879,3892,5.8,
Amrita Ingwer,1,97238,3892,1.8,
Weißenoher Barrique Bock,1,245300,3892,7,
Weißenoher Weihnachts Festbier,1,67150,3892,5,
Weißenoher Glocken Hell,1,96768,3892,5,
Weißenoher Annafestbier,1,91546,3892,5,
Weißenoher Barrique Klosterbier,1,120539,3892,5,
Amrita Ingwer 5.0,1,137405,3892,5,
The Cannabis Club Sud,1,25950,3892,4.9,
Weißenoher Kloster Spezial/ Klostersud,1,39690,3892,5.4,
Weißenoher Hersbrucker Pure Pils,1,197360,3892,4.9,
Weißenoher Virtac Bior,1,204094,3892,7.1,
Weißenoher Hersbrucker Weihnachts Festbier,1,207315,3892,5.2,
Weißenoher Altfränkisch Klosterbier,1,40459,3892,5.1,
Weißenoher green MONKey Hersbrucker,1,253236,3892,5.8,
Kommunbrauhaus Neuhaus a.d. Pegnitz Reindl Kommunbier,1,106595,5139,5,
Kommunbrauhaus Neuhaus a.d. Pegnitz Benaburger Märzen,1,106594,5139,5,
Kommunbrauhaus Neuhaus a.d. Pegnitz Döth Märzen,1,38607,5139,0,
Seßlacher Festbier,1,146068,9985,5,
Seßlacher Hausbräu,1,94849,9985,4.1,
Krug-Bräu Kellerbier,1,78788,2034,5,
Krug-Bräu Pilsner,1,60665,2034,4.8,
Krug-Bräu Dunkles Lagerbier,1,11048,2034,5,
Krug-Bräu Dunkles Festbier &#40;Weihnachtsbier&#41;,1,97264,2034,5.6,
Krug-Bräu Kraft-Stoff,1,60074,2034,5.4,
Krug-Bräu Bockbier,1,53850,2034,6.8,
Krug-Bräu Carinator,1,239527,2034,7.7,
Krug-Bräu Helles Festbier,1,14541,2034,5.5,
Krug-Bräu Bernstein Radler,1,286692,2034,2.4,
Krug-Bräu Hefe Weisse,1,31192,2034,5.3,
Krug-Bräu Gaas-Seidla,1,48427,2034,2.8,
Krug-Bräu Dunkle Weisse,1,89801,2034,5.3,
EKU 28,1,6222,897,11,
Kulmbacher Edelherb Premium Pils,1,9988,897,4.9,
Kulmbacher Mönchshof Kellerbier,1,37413,897,5.4,
Kapuziner Weissbier Schwarz,1,7753,897,5.4,
Kulmbacher Eisbock,1,14367,897,9.2,
Kapuziner Weissbier,1,5093,897,5.4,
Kulmbacher Mönchshof Lager,1,22437,897,4.9,
Kapuziner Weissbier Radler,1,269579,897,2.7,
Kulmbacher Mönchshof Original Pils,1,9609,897,4.9,
Kulmbacher Festbier,1,6218,897,5.8,
Kapuziner Winter Weissbier,1,14766,897,5.4,
Kulmbacher Mönchshof Naturtrüb´s Alkoholfrei,1,260363,897,0,
EKU Kristall Weizen Klar,1,6167,897,5.1,
Kapuziner Weissbier Alkoholfrei,1,14764,897,0.5,
EKU Radler,1,47108,897,2.5,
Kulmbacher Mönchshof Maingold Landbier,1,18556,897,5.4,
Kulmbacher Lager Hell,1,46839,897,4.9,
EKU Kulminator,0,4626,897,7.5,
EKU Cola und Bier,1,46616,897,2.5,
Kapuziner Kellerweizen,1,177115,897,5.1,
Kulmbacher Mönchshof Lebkuchenbier,1,236070,897,5.4,
Kulmbacher Alkoholfrei,1,34777,897,0,
EKU Export,1,91718,897,5.4,
Kulmbacher Mönchshof Kulmquell,0,145089,897,4.9,
Kulmbacher Jubiläums-Festbier,1,86541,897,5.6,
EKU Pilsner,1,4625,897,5,
Kulmbacher Mönchshof Helles,0,17056,897,4.8,
Kulmbacher Mönchshof Mild Würziges Landbier,1,309153,897,5.4,
Kulmbacher Radler Mit Limette,1,89845,897,2,
EKU Edel Bock,1,57086,897,6.8,
Kulmbacher Mönchshof Weihnachts Bier,1,10098,897,5.6,
Kulmbacher Mönchshof Bayerisch Hell,1,143530,897,4.9,
Kulmbacher Feinmild,1,51450,897,4.9,
EKU Festbier,1,16606,897,5.6,
Kulmbacher Mönchshof Schwarzbier,1,9055,897,4.9,
Kulmbacher Mönchshof Bockbier,1,16730,897,6.9,
Kulmbacher Gold,1,48509,897,4.9,
EKU Hell,1,19566,897,4.9,
EKU Hefe-Weissbier Hell,0,6166,897,5.3,
Kapuziner Weissbier Leicht,1,14763,897,3.1,
Kulmbacher Mönchshof Festbier,1,21105,897,5.7,
Kulmbacher Mönchshof Radler,1,170644,897,2.5,
Kulmbacher Leicht,1,19316,897,2.9,
EKU Hefe-Weissbier Dunkel,0,6165,897,5.1,
Kapuziner Weissbier Kristall-Weizen,1,14762,897,5.4,
Kulmbacher Mönchshof Exportbier unfiltriert,1,313884,897,5.4,
EKU Schwarzbier,1,57087,897,4.7,
Kulmbacher Export,1,19311,897,5.4,
Kulmbacher Mönchshof Maibock,1,141536,897,6.9,
EKU Echt Kulmbacher Rubin,0,6164,897,4.8,
Kulmbacher Kommunbräu Bernstein,1,77817,6922,4.9,
Kulmbacher Kommunbräu Hell,1,60533,6922,4.9,
Kulmbacher Kommunbräu Sommer-Weisse,1,108871,6922,0,
Kulmbacher Kommunbräu Deflorator,1,220346,6922,7.1,
Kulmbacher Kommunbräu Kerwa,1,127919,6922,5.6,
Kulmbacher Kommunbräu Sommerbier,1,89264,6922,4.5,
Kulmbacher Kommunbräu Hexenbier,1,171154,6922,4.9,
Kulmbacher Kommunbräu Brezenbier,1,248119,6922,5.5,
Landwehr-Bräu Toppler Pils,1,20540,2628,4.9,
Landwehr-Bräu Hell,1,39794,2628,4.7,
Landwehr-Bräu Kellerbier Unfiltriert,1,50197,2628,4.7,
Landwehr-Bräu Dunkler Bock,1,39410,2628,6.6,
Landwehr-Bräu Radler,1,40650,2628,2.7,
Landwehr-Bräu Weihnachtsbier,1,39415,2628,5.4,
Landwehr-Bräu Alkoholfrei,1,189786,2628,0,
Landwehr-Bräu Pilsner,1,64838,2628,4.9,
Landwehr-Bräu Dunkel,1,14614,2628,5.2,
Landwehr-Bräu Edel,1,35940,2628,5,
Landwehr-Bräu Gold,1,84701,2628,4.9,
Landwehr-Bräu Hopf,1,114409,2628,5.5,
Landwehr-Bräu Light,1,39416,2628,2.7,
Landwehr-Bräu Kirchweihbier,1,118451,2628,5.4,
Lang-Bräu Schönbrunner Fichtelgebirgs Hell,1,89791,2908,4.5,
Lang-Bräu Schönbrunner Fichtelgebirgs Pils,1,31163,2908,5,
Lang-Bräu Jean Paul Bier,1,110660,2908,5.5,
Lang-Bräu Schönbrunner Weissbier Medium,1,95335,2908,3.1,
Lang-Bräu U.hu Bier,1,89772,2908,4.5,
Lang-Bräu schit dibri nó,1,169390,2908,4.9,
Lang-Bräu Schönbrunner Radler,1,89771,2908,2.6,
Lang-Bräu Maibock,1,62943,2908,7.5,
Lang-Bräu Schönbrunner Fichtelgebirgs Festbier,1,17983,2908,5.5,
Lang-Bräu Schönbrunner Weissbier,1,31316,2908,5.2,
Lang-Bräu Schönbrunner Burggraf Dunkel,1,18111,2908,5.5,
Lang-Bräu Schönbrunner Weissbier Dunkel,1,35623,2908,5.2,
Lang-Bräu ErotikBier,1,17982,2908,5.5,
Lang-Bräu Siebensternchen Pils,1,60727,2908,5,
Lang-Bräu Schönbrunner Urbock,1,42142,2908,7.5,
Lang-Bräu Schönbrunner Fichtelgebirgs Spezial,1,89770,2908,5.5,
Lang-Bräu Maibock Dunkel,1,60025,2908,7.5,
Lang-Bräu Schönbrunner Fichtelgebirgs Hopfen Medium,1,89768,2908,2.9,
Lang-Bräu Benedikt XVI,1,55606,2908,7.5,
Lang-Bräu Schönbrunner Urbock Dunkel,1,17847,2908,7.5,
Löwen-Bräu Hennemann Hefeweizen,1,107955,5968,5.3,
Löwen-Bräu Hennemann Lagerbier,1,107957,5968,5.2,
Löwen-Bräu Hennemann Dunkles Landbier,1,281356,5968,5.3,
Löwen-Bräu Hennemann Räucherla,1,107953,5968,0,
Löwen-Bräu Hennemann Hell,0,47585,5968,0,
Löwen-Bräu Hennemann Land-Pils,1,153200,5968,5,
Löwenbräu Buttenheim Ungespundetes Lagerbier,1,28618,2996,4.8,
Löwenbräu Buttenheim Pilsner,1,48307,2996,5,
Löwenbräu Buttenheim Vollbier Hell,1,48308,2996,5,
Löwenbräu Buttenheim Weihnachtsfestbier,1,68000,2996,5,
Löwenbräu Buttenheim Fastenbock,0,60039,2996,6.3,
Löwenbräu Buttenheim Keller Leicht,1,48306,2996,2.5,
Löwenbräu Buttenheim Haustrunk,1,172554,2996,0,
Löwenbräu Buttenheim Löwen-Radler,1,93718,2996,2.5,
Löwenbräu Buttenheim Bartholomäus Festmärzen,1,74182,2996,5,
Löwenbräu Buttenheim Bockbier,1,43484,2996,6.3,
Löwenbräu Neuhaus Edel Pilsner,1,18014,3005,4.9,
Löwenbräu Neuhaus Hochzeitsbier,1,216264,3005,5.5,
Löwenbräu Neuhaus Hausbräu,1,17833,3005,5,
Löwenbräu Neuhaus Vollbier,1,18015,3005,4.7,
Löwenbräu Neuhaus Hosenscheisser Rotbier,1,271921,3005,5.5,
Löwenbräu Neuhaus Edel Märzen,1,17832,3005,5.3,
Löwenbräu Neuhaus Leichtes,1,17718,3005,2.8,
Löwenbräu Neuhaus Zwickel-Pilsner,1,66793,3005,4.9,
Löwenbräu Neuhaus Holzbock Fass #1,1,269754,3005,11.5,
Löwenbräu Neuhaus Bockbier,1,74944,3005,6.8,
Löwenbräu Neuhaus Festbier,1,18016,3005,5.5,
Löwenbräu Neuhaus Aischgründer Karpfen Weisse,1,66794,3005,5.2,
Mahrs Bräu Weisse,1,5151,898,5.2,
Mahrs Bräu Der Weisse Bock,1,5153,898,7.2,
Mahrs Bräu Pilsner,1,5147,898,4.9,
Mahrs Bräu Mastodon,1,165414,898,5.2,
Mahrs Bräu Hell,1,5148,898,4.9,
Mahrs Bräu Kellerbier Ungespundet Hefetrüb,1,5095,898,5.2,
Mahrs Bräu Saphir Weiss,1,116035,898,5.6,
Mahrs Bräu Christmas Bock,1,28229,898,6,
Mahrs Bräu Radler,1,5152,898,2.6,
Mahrs Bräu E.T.A. Hoffmann Dunkles Lagerbier,1,94568,898,5,
Ringlas Helles,1,24411,898,4.8,
Mahrs Bräu Kaiser Heinrich II.,0,18534,898,5.2,
Mahrs Bräu Jubelfestbier,1,39981,898,4.9,
Mahrs Bräu Lager 2010,0,37116,898,4.9,
Mahrs Bräu Gig,0,27066,898,5.2,
Mahrs Bräu Roter Baron,1,230613,898,6,
Mahrs Bräu Ginger Bock,1,228576,898,6,
Mahrs Bräu Lagerbier Naturtrüb und Obergärig,1,175529,898,5.5,
Mahrs Bräu Leicht,1,5150,898,2.8,
Mahrs Bräu Sternen-Hell,0,75699,898,5,
Mahrs Bräu Pantry Berlin,1,201256,898,5.2,
Mahrs Bräu Bock-Bier,1,18356,898,6.5,
Mahrs Bräu Festtags Weisse,1,49710,898,5.6,
Martinsbräu Pils,1,24290,3405,4.9,
Martinsbräu Landbier Dunkel,1,71426,3405,5.1,
Martinsbräu Rumpelstilzzchen,1,183787,3405,0,
Martinsbräu Colabier Zip,1,120526,3405,2.5,
Martins Leicht,1,69500,3405,2.8,
Martins Export,1,71429,3405,5.3,
Martinsbräu Weizen Hefe Hell,1,41586,3405,5.1,
Martinsbräu Weizen Hefe Dunkel,1,21285,3405,5.1,
Martinsbräu Zwickl Kellerbier,1,173041,3405,5.4,
Martinsbräu Maibock,1,264218,3405,6.8,
Martinsbräu 02 Schwarzbier,1,312362,3405,5,
Martins Mild,0,41561,3405,4.7,
Martins Märzen,1,69571,3405,5.4,
Martins Hell,1,86952,3405,5.2,
Martinsbräu Weizen Alkoholfrei,1,226272,3405,0,
Martinsbräu 1883 Jubiläums-Bier,1,210614,3405,5.4,
Martinsbräu Doppelbock,1,76298,3405,7.5,
Martinsbräu Radler,1,120525,3405,2.7,
Martinsbräu 01 Kalt Gehopftes,1,243567,3405,4.9,
Martins Alkoholfrei,1,86951,3405,0,
Martinsbräu Laurenzi Festbier,1,186142,3405,5.3,
Meinel-Bräu Zwickel,1,62862,4143,5.2,
Meinel-Bräu Classic Pils,1,29679,4143,5.2,
Meinel-Bräu Gold Lager,1,29680,4143,4.6,
Holladiebierfee Sommernachtstraum,1,212555,4143,6,
Meinel-Bräu Konrad und Mariechen,1,191246,4143,3.8,
Meinel-Bräu Dark Lager,1,29465,4143,4.3,
Holladiebierfee Herbst-/Winterfee,1,237426,4143,7.5,
Meinel-Bräu Märzen,1,28558,4143,5.5,
Meinel-Bräu Perlenschatz,1,267394,4143,5.4,
Meinel-Bräu Hospital Spezial,1,269773,4143,5.6,
Meinel-Bräu Hof-Radler,1,29684,4143,2.4,
Meinel-Bräu Mephisto,1,89808,4143,5.2,
Meinel-Bräu Doppelbock Hell,1,29683,4143,8,
Meinel-Bräu Absolvinator,1,29682,4143,7.5,
Meinel-Bräu Hopfenzupfer,1,250156,4143,5.9,
Meinel-Bräu Weizenbock,1,134596,4143,6.5,
Meinel-Bräu Blümla Frühlingsweizen,1,265440,4143,5.4,
Meinel-Bräu Hefe-Weizen,1,29681,4143,5.1,
Mühlenbräu Vollbier Hell,1,79405,5758,5,
Mühlenbräu Pils,1,44979,5758,4.8,
Mühlenbräu Eremiten-Trunk,1,117624,5758,5.8,
Mühlenbräu Märzen,1,144458,5758,5.5,
Mühlenbräu Bock Dunkel,1,44980,5758,6.8,
Mühlenbräu Fränkisch Dunkles Lagerbier,1,44978,5758,4.8,
Mühlenbräu Maibock,1,60027,5758,0,
Mühlenbräu Weisse,1,66779,5758,5.2,
Brauerei Müller Debringer Micherla,1,66466,5759,5.2,
Brauerei Müller Debringer Bock,1,53638,5759,7.5,
Brauerei Müller Debringer Pils,1,44982,5759,5.2,
Brauerei Müller Debringer Weissbier,1,62540,5759,5.2,
Brauerei Müller Debringer Vollbier Dunkel,1,44983,5759,5.2,
Stärker Hausbräu Kellerbier,1,126213,8341,0,
Stärker Hausbräu Hefeweizen Hell,1,126214,8341,0,
Nanni Bräu Weißbier,1,297295,21290,0,
Nanni Bräu Heller Bock,1,297294,21290,0,
Nikl-Bräu Lagerbier,1,95979,10043,5.2,
Nikl-Bräu Michala,1,104503,10043,5.6,
Nikl-Bräu Weizen-Doppelbock,1,168962,10043,8,
Nikl-Bräu Dark Cherry,1,241371,10043,9.3,
Nikl-Bräu Roggenfestbier,1,308034,10043,5.8,
Nikl-Bräu Rauch Bock,1,254088,10043,11.2,
Nikl Selection - The Village Bock 2014,1,301570,10043,10.7,
Nikl-Bräu Rauchbier Bock,1,177446,10043,7.2,
Nikl-Bräu Bockbier,1,129623,10043,6.9,
Nikl-Bräu Kentucky Bourbon Bock,1,229766,10043,9.3,
Nikl-Bräu Märzen,1,172323,10043,5.9,
Nikl-Bräu Gourmet Brandy Bock,1,253020,10043,9.3,
Nikl-Bräu Weizenbier,1,129622,10043,0,
Hütt’n Spezial Hell,1,187664,10043,0,
Nikl-Bräu Bruder Bruno Rauchbier,1,129621,10043,5.7,
Nikl-Bräu Gourmet Sherry Bock Barrel Aged,1,241370,10043,9.3,
Nikl-Bräu Tequila Triple Bock,1,293616,10043,11.7,
Nikl-Bräu Pils,1,129620,10043,0,
Nikl-Bräu Selection - Old Django,1,245155,10043,9.3,
Nikl-Bräu Festbier,1,129619,10043,0,
Nikl-Bräu Helles,1,220194,10043,0,
Oberstreuer Brauhausbier,1,129544,12038,5,
Oechsner Hefe Weizen Dunkel,1,43122,3054,5.2,
Oechsner Radler,1,243249,3054,2.6,
Hermanns Teutonen Trunk Pilsener,1,57384,3054,4.9,
Oechsner Natur Radler,1,222950,3054,2.6,
Oechsner Hefe Weizen Hell,1,18007,3054,5.2,
Oechsner 1516 Original,1,27705,3054,4.9,
Oechsner Leicht,1,86934,3054,2.9,
Brenner Radler,1,159764,3054,2.6,
Oechsner Kristall Weizen,1,86933,3054,5.1,
Brenner Pils,1,159762,3054,4.9,
Oechsner Wintermärchen,1,86935,3054,5.5,
Brenner Export,1,159763,3054,5.3,
Oechsner Edelhell,1,86932,3054,5.2,
Brenner Weizen Hell,1,186194,3054,5.2,
Oechsner Urbock,1,43011,3054,6.5,
Schützenhof Pils,1,122297,3054,4.9,
Oechsner Zwickl,1,187599,3054,0,
Schützenhof Hell,1,141814,3054,4.9,
Delta Colabier,1,92420,3054,2.5,
Oechsner Märzen-Gold,0,27706,3054,5.5,
Oechsner Premium Pils,1,23750,3054,4.9,
Schützenhof Export,1,122296,3054,5.5,
Oechsner Schwarzbier,1,18766,3054,5.2,
Pax Bräu Smaragd Pilsner,1,280603,11198,4.8,
Pax Bräu  Vollbier,1,115778,11198,5.2,
Pax Bräu Wir Sind Rhöner Bier&#033; Collaboration Brew #1,1,307274,11198,5.7,
Pax Bräu Wir Sind Rhöner Bier&#033; Collaboration Brew #2,1,307262,11198,5.4,
Pax Bräu Fosenöchtor,1,204988,11198,8.5,
Pax Bräu Braggot Barrel Aged,1,313350,11198,13.5,
Pax Bräu Imperial Peppermint Stout,1,204728,11198,6.8,
Pax Bräu Braggot,1,242918,11198,13.5,
Pax Bräu Rhöner Hopfensonne,1,278657,11198,5.5,
Pax Bräu Rhöner Imperial Pilsner,1,230584,11198,8.5,
Pax Bräu Admiral Nelson Pilsner,1,228821,11198,4.8,
Pax Bräu Marzen,1,208289,11198,5.6,
Pax Bräu  Rhöner Pale Ale,1,272386,11198,5.2,
Pax Bräu  Lakritz Oatmeal Stout,1,161925,11198,5.2,
Pax Bräu Bière Blanche,1,243454,11198,4.5,
Pax Bräu Black Gold Lakritz Oatmeal Stout,1,212408,11198,5.3,
Pax Bräu From Asia with Love,1,252723,11198,7.7,
Pax Bräu Imperial Honey Stout,1,232329,11198,6.5,
Pax Bräu  Weizenbier,1,131027,11198,5.2,
Pax Bräu  Pacifator Doppelbock,1,139519,11198,7.7,
