brewer_name,address,city,district,rbid,active,founded,brewer_type,score,lat,lon,web,hours,description,phone
Brauerei Thereser,Bahnstrasse 3,Untertheres,Lower,4902,0,0,Brewery,0,50.015128,10.417299,http://www.thereser.de,,,
Brauerei Trunk (Alte Klosterbrauerei Vierzehnheiligen),Vierzehnheiligen 3,Bad Staffelstein,Upper,3713,1,1803,Brewery,0,50.11476,11.05556,http://www.bier.by/brauerei-guide/brauerei-trunk-alte-klosterbrauerei-1,Mon-Sun 10.00-20.00,,9571 3488
Brauerei Wagner Merkendorf,Pointstrasse 1,Memmelsdorf-Merkendorf,Upper,3794,1,1797,Brewery,0,49.958199,10.956463,http://www.wagner-merkendorf.de,Tue-Sun from 9.00; Mon closed,,9542 620
Brauerei Wagner Oberhaid,Bamberger Strasse 2,Oberhaid,Upper,4821,0,0,Brewery,0,49.932292,10.81452,http://brauerei-wagner-oberhaid.npage.de,Mon-Sun 10.00-1.00,,9503 229
Brauerei Wagner,Am Stadtgraben 3,Pottenstein,Upper,12777,1,2011,Brewery,0,49.77094,11.40655,http://www.urbraeu-pottenstein.de/historisches/,,,9243 924420
Brauerei Weber,Ringstrasse 46,Hirschaid-Röbersdorf,Upper,4888,1,1800,Brewery,0,49.800101,10.924429,http://weber.brauereien.bierland-oberfranken.de,Thu-Tue 10.00-24.00; Wed closed,,9543 7882
Brauerei Wernsdörfer,Obere Bachgasse 5,Schönbrunn im Steigerwald,Upper,8558,1,1789,Brewery,0,49.857326,10.690909,http://www.brauerei-wernsdoerfer.de,Wed-Mon 9.00-24.00; Tue closed,,9546 389
Brauerei Wiethaler,Welserplatz 6-7,Lauf-Neunhof,Middle,5091,1,1753,Brewery,0,49.554495,11.229911,http://brauerei-wiethaler.de,Mon-Fri 7.00-12.00; 13.00-18.00; Sat 8.00-13.00,,9126 7651
Brauerei Will Schederndorf,Nr. 19,Stadelhofen-Schederndorf,Upper,4799,1,1753,Brewery,0,50.005644,11.154139,http://www.schederndorf.de,Mon; Wed-Sat 11.00-24.00; Sun 10.00-24.00; Tue closed,,9504 262
Brauerei Windsheimer,Hauptstrasse 13,Gutenstetten,Middle,3734,1,1767,Brewery,0,49.615842,10.630059,http://brauerei-windsheimer.de,Tue-Sun from 18.00; Mon closed,,9161 2293
Brauerei Winkler Melkendorf,Otterbachstrasse 13,Litzendorf-Melkendorf,Upper,10511,1,1889,Brewpub,0,49.89947,11.03122,http://www.brauerei-winkler.onlinehome.de,Mon Wed-Fri from 16.00; Sat Sun/hols from 10.00; Tue closed,,9505 805646
Brauerei Witzgall,Schlammersdorfer Strasse 17,Hallerndorf-Schlammersdorf,Upper,5962,1,1811,Brewery,0,49.769283,11.005567,,Fri-Wed 9.00-23.00; Thu closed,,9545 7452
Brauerei Wolf Rüdenhausen,Paul-Gerhardt-Platz 7,Rüdenhausen,Lower,8321,1,1753,Brewery,0,49.76431,10.34325,http://beerme.com/brewery.php?8032,Tue-Sun 11.00-14.30 & 17.00-23.00; Mon closed,,9383 440
Brauerei Zehendner,Haus Nr. 18,Burgebrach-Mönchsambach,Upper,3700,1,1899,Brewery,0,49.81917,10.67698,http://www.moenchsambacher.de,Tue-Sun 9.00-24.00; Mon closed,,9546 380
Brauerei Zenglein,Pfarrer-Baumann-Str. 21-23,Oberaurach-Oberschleichach,Lower,5974,1,1846,Brewery,0,49.948454,10.596932,,Thu-Mon from 9.00; Tue Wed closed,,9529 92240
Brauerei Zirndorf (Tucher),Rote Strasse 8-10,Zirndorf,Middle,4978,1,1753,Brewery,0,49.442701,10.954822,http://www.zirndorfer.de,Tue-Sat 17.00-1.00; Sun 11.00-1.00; Mon closed,,9116 07051
Brauerei zum Schwarzen Adler (Oettinger),Fürnheim,Wassertrüdingen,Middle,4706,1,2004,Client Brewer,0,49.021957,10.524041,http://www.bagehorn.de/bierpage/samml/1_01_s.htm,,,9082 708111
Brauerei zur Sonne,Regnitzstrasse 2,Bischberg,Upper,3802,1,2003,Brewery,0,49.91074,10.83216,http://www.sonnenbier.de/index.php?mode&#061,,,9516 2571
Brauerei Zwanzger,Burghaslacher Strasse 10,Uehlfeld,Middle,2016,1,1753,Brewery,0,49.67171,10.72178,http://www.brauerei-gasthof-zwanzger.de,Tue-Sun 9.30-24.00; Mon closed,,9163 959756
Brauerei-Gasthaus Fössel-Mazour,Baunacher Strasse 28,Appendorf,Upper,4792,1,2004,Brewpub,0,49.969288,10.802216,http://brauerei-zum-vaelta.de/home/,Wed-Mon 8.00-23.00; Tue closed,,9544 20390
Brauerei-Gasthaus Thomann,Altmainstrasse 5,Bad Staffelstein-Wiesen,Upper,5971,1,1870,Brewery,0,50.096362,10.951892,http://www.gasthaus-thomann.de,Wed-Fri 16.00-23.00; Sat-Mon 11.00-23.00; Tue closed,,9573 5296
Brauerei-Gasthof Höhn,Hauptstrasse 11,Memmelsdorf,Upper,3865,1,2003,Brewpub,0,49.93315,10.9522,http://www.gasthof-hoehn.de/html/,Wed-Mon from 10.00; Tue closed,,9514 06140
Brauerei-Gasthof Hümmer,Bamberger Strasse 22,Breitengüssbach,Upper,494,0,0,Brewery,0,49.96979,10.88501,http://www.brauerei-gasthof-huemmer.de,Oct-Apr: Tue-Sat: 10-13.30 & 17.00-; Sun: from 9 -- May-Sep: Tue-Sat: from 10; Sun from 9. Closed Mon,,9544 20344
Brauerei-Gasthof Kundmüller,Weiher 13,Viereth-Weiher,Upper,1822,1,1835,Brewery,0,49.91309,10.75108,http://www.kundmueller.de,Thu-Tue from 9.00; Wed closed,,9503 4338
Brauerei-Gasthof Leicht,Pferdsfeld 3,Ebensfeld-Pferdsfeld,Upper,10001,1,1870,Brewpub,0,50.079894,10.990768,http://gasthof-leicht.brauereien.bierland-oberfranken.de,Fri-Sun from 11.00; Mon-Wed from 16.00; Thu closed,,9573 236
Brauerei-Gasthof Schnupp,Altdrossenfeld 8,Neudrossenfeld-Altdrossenfeld,Upper,4214,0,0,Brewery,0,50.011705,11.495921,http://www.brauereigasthof-schnupp.de,Thu Fri 17.00-24.00; Sat Sun 15.00-24.00,,9203 9920
Brauerei-Gasthof Sonne (Sonnenbräu),Hauptstrasse 29,Ebermannstadt,Upper,5130,0,0,Brewery,0,49.780023,11.186721,http://www.bierdeckelsammler.net/deu_brauerei_show_1000.htm,Thu-Tue 7.00-24.00; Wed 16.00-24.00,,9194 767480
Brauerei-Gasthof Weyberbräu,Kurfürst-Eppstein-Ring 6,Sailauf,Lower,8342,1,1998,Brewpub,0,50.00484,9.24066,http://www.weyberbraeu.de,Mon-Fri 11.00-14.00 & 17.00-22.00; Sat & Sun/hols 11.00-22.00,,6093 996310
Brauerei-Gasthof Wichert,Alte Reichsstrasse 50,Lichtenfels-Oberwallenstadt,Upper,9530,1,1863,Brewpub,0,50.152848,11.086595,http://www.brauereigasthof-wichert.de,Brewery: Daily 7.00-16.00; Pub: Tue-Sun from 11.00; Mon closed,,9571 3317
Brauereigasthof Reichold,Hochstahl 24,Aufsess,Upper,2296,1,1906,Brewery,0,49.884225,11.267616,http://www.reichold.de,Daily 8.00-18.00,,9204 271
Brauereigasthof Rothenbach (Aufsesser Brauerei),Im Tal 70b,Aufsess,Upper,2944,1,1886,Brewery,0,49.883913,11.228983,http://www.aufsesser.de,Mon-Sun 9.00-23.00; Closed: Tue (Nov-Mar) and Mon-Thu (Dec-Feb),,9198 8282
Brauereigaststätte Hellmuth,Wiesen 14,Bad Staffelstein-Wiesen,Upper,3709,1,1756,Brewery,0,50.09595,10.94945,http://www.gasthaus-hellmuth.de,Tue-Sun from 11.00; Mon closed,,9573 4395
Braugasthof Grosch,Oeslauer Strasse 115,Rödental-Oeslau,Upper,5956,1,1753,Brewery,0,50.288601,11.029693,http://www.der-grosch.de,Mon-Sun 8.00-23.00,,9563 7500
Brauhaus am Kreuzberg (Friedels Keller),Hallerndorfer Kreuzberg,Hallerndorf-Schnaid,Upper,1498,1,1753,Brewpub,0,49.759123,10.9555229,http://www.friedels-keller.de,Apr-Okt: daily from 11; Okt-Apr: Fri-Sun: from 11,,9545 4736
Brauhaus Barbarossa,Aschaffenburger Str. 18,Schöllkrippen,Lower,4990,1,1990,Brewery,0,50.08402,9.245527,http://www.brauhaus-barbarossa.de,Tue-Sat 1730-0100; Sun 1100-0100; Mon closed,,6024 5454
Brauhaus Binkert,Westring 5,Breitengüssbach,Upper,15335,1,2012,Brewery,0,49.963734,10.88194,http://www.mainseidla.de,,,9544 982500
Brauhaus Brandmeier,Hindenburgstrasse 59,Cadolzburg,Middle,17635,1,2013,Brewery,0,49.45419,10.85131,http://brauhaus-brandmeier.de,,,9103 7129990
Brauhaus Döbler,Kornmarkt 6,Bad Windsheim,Middle,3804,1,1867,Brewery,0,49.501903,10.416005,http://www.brauhaus-doebler.de,Mon Wed  Fri 9.00-23.00; Tue until 13.00; Thu until 19.00; Sat until 17.00; Sun/hols closed,,9841 2002
Brauhaus Faust zu Miltenberg,Hauptstrasse 219,Miltenberg am Main,Lower,3879,1,1753,Brewery,0,49.894714,9.235398,http://www.faust.de,Mon-Thu 7.30-12.00 & 13.15-17.00; Fri 7.30-12.00 & 13.15-16.00,,9371 97130
Brauhaus Höchstadt,Kellerstrasse 7-11,Höchstadt an der Aisch,Middle,8108,1,1926,Brewery,0,49.707336,10.806406,http://www.brauhaus-hoechstadt.de,Mon-Fri 7.15-17.30; Sat 8.00-12.00,,9193 8367
Brauhaus im Wurzgrund,Im Wurzgrund 6,Karlstadt,Lower,6225,1,1990,Brewery,0,49.957199,9.777682,http://www.brauerverein.de,,,9353 3759
Brauhaus Niederlauer,Brunnenstrasse 6,Niederlauer-Oberebersbach,Lower,12035,1,2006,Brewery,0,50.293147,10.176781,http://www.hausbrauerbier.de,,,9771 98732
Brauhaus Ploss,Schillerstrasse 23,Selb,Upper,8530,1,2007,Brewpub,0,50.17151,12.13149,http://www.brauhaus-ploss.de,Mon-Sat 10.30-1.30; Sun closed,,9287 890342
Brauhaus Robesbierre,Oberer Stephansberg 49,Bamberg,Upper,5678,0,0,Brewery,0,49.884771,10.887606,http://www.franconiabeerguide.com/robesbierre.asp,,,
Brauhaus Rothenburg,Schmidtsgässchen 3/5,Rothenburg ob der Tauber,Middle,12042,0,0,Brewery,0,49.379454,10.182329,http://www.brauerei-rothenburg.de,Mon-Fri 9.00-12.00 & 13.00-18.00; Sat 9.00-13.00,,9861 8755830
Brauhaus Schweinfurt,Klingenbrunnstr. 22-26,Schweinfurt,Lower,3674,1,1903,Brewery,0,50.05297,10.23405,http://www.brauhaus-schweinfurt.de,,,9721 53611
Brauhaus Würzburg,Burkarderstrasse 2-4,Würzburg,Lower,8339,1,2007,Brewpub,0,49.792795,9.92429,http://www.brauhausbar.de,Mon-Sun 19.00-1.00,,931 43159
Brauhaus zum Adler Gunzenhausen,Marktplatz 8-12,Gunzenhausen,Middle,7995,1,2006,Brewery,0,49.115373,10.753347,http://www.hotel-adlerbraeu.de,,,9831 88670
Braumanufaktur Hertl,Thüngfeld 61,Schluesselfeld,Upper,18666,1,2014,Brewery,0,49.750923,10.628244,http://www.bierland-oberfranken.de/deutsch/brauereien/brauereiportraits,,,9552 981028
Braumanufaktur Lippert,Wittelsbacher Strasse 8,Lichtenfels,Upper,16731,1,2013,Brewery,0,50.1419,11.07385,http://www.braumanufaktur-lippert.de,,,9571 9739241
Bürgerbräu Bayreuth,Bindlacherstrasse 10,Bayreuth,Upper,1472,1,2001,Brewery,0,49.96701,11.6072,http://www.buergerbraeu-bth.de,,,921 67673
Bürgerbräu Hersbruck Deinlein,Lohweg 38,Hersbruck,Middle,8114,1,1920,Brewery,0,49.50682,11.42837,http://www.hersbrucker-bier.de,Mon-Thu 7.00-12.00 & 13.00-16.30; Fri 7.00-13.30,,9151 3003
Bürgerbräu Hof,Ascher Strasse 3,Hof,Upper,6921,1,2006,Brewery,0,50.311639,11.934797,http://www.bbhof.de,Daily from 10.00,,9281 73660
Bürgerliches Brauhaus Wiesen,Hauptstrasse 97,Wiesen,Lower,5670,1,1888,Brewery,0,50.113065,9.363553,http://www.brauhaus-wiesen.de,,,6096 373
Coburger Brauerei (Kulmbacher),Callenberger Str. 35,Coburg,Upper,3085,1,1833,Brewery,0,50.269431,10.952897,http://www.kulmbacher.de,,,9561 55000
Nanni Bräu,Freiahorn 27,Ahorntal,Upper,21290,1,2008,Brewery,,49.843664,11.428801,http://www.facebook.com/NanniBrau,,,491758619907
Dorn-Bräu Ammerndorf,Marktplatz 1,Ammerndorf,Middle,8303,1,2007,Brewery,0,49.42063,10.85187,http://www.ammerndorfer-bier.de,,,9127 57544
Dorn-Bräu Bruckberg,Markgrafenstrasse 3,Bruckberg,Middle,8329,1,2007,Brewery,0,49.358445,10.697453,http://www.bruckberg.de/showpage.php?SiteID&#061,Wed-Mon 9.00-24.00; Tue 9.00-14.00,,9824 326
Dreykorn Bräu,Mauergasse 9-13,Lauf an der Pegnitz,Middle,8191,1,1831,Brewery,0,49.5119,11.2799,http://plus.google.com/104399142028530272306/about,,,9123 2424
Drossenfelder Bräuwerck,Adam-Seiler-Strasse 1,Neudrossenfeld,Upper,16001,1,2013,Brewpub,0,50.016794,11.501378,http://www.braeuwerck.de,Tue-Fri 17.00-23.00; Sat-Sun 11.00-23.00; Mon closed,,9203 99324
Ebensfelder Brauhaus,Oberer Kehlbachdamm 7,Ebensfeld,Upper,1893,1,2001,Brewery,0,50.066257,10.9597519,http://www.ebensfelder-brauhaus.de,,,9573 885
Ed's Braustüble,Adami-Strasse 2,Coburg,Upper,12005,1,2010,Brewpub,0,50.260585,10.957189,http://www.bier.by/gastro-guide/ed-s-braustuble-1.3478883,Tue-Fri from 16.30; Sat Sun Mon closed,,9561 34580
Eder and Heylands Brauerei,Aschaffenburger Str. 3,Grossostheim,Lower,2993,1,1872,Brewery,0,49.922288,9.075112,http://www.eder-heylands.de,Tue-Sun 11.00-14.00 & 16.00-24.00; Mon closed,,6026 5090
Enzensteiner,Enzenreuth 8,Schnaittach-Enzenreuth,Middle,8970,1,1998,Brewery,0,49.56178,11.36854,http://www.enzensteiner.de,Biergarten: May-Sep: Fri 18.00-22.00; Sat & Sun/hols 11.00-22.00,,9153 924734
Eschenbacher Privatbrauerei Wagner-Bräu,Eltmanner Strasse 12,Eltmann-Eschenbach,Lower,4512,1,1753,Brewery,0,49.966582,10.701607,http://www.eschenbacher.de,Tue-Sun 17.00-22.00; Mon closed,,9522 288
Familien-Brauhaus Leikeim,Langheimer Strasse 14,Altenkunstadt,Upper,1649,1,1887,Brewery,0,50.1248,11.24695,http://www.leikeim.de,,,9572 75050
Felsenbräu Thalmannsfeld,Felsenweg 2,Thalmannsfeld,Middle,2925,1,1928,Brewery,0,49.069687,11.150919,http://www.solarbier-felsenbraeu.de,,,9147 94266
Forstquell Brauerei Höhenberger (Oettinger),Fürnheim 35,Wassertrüdingen,Middle,5912,1,1997,Brewpub,0,49.021946,10.524019,http://www.forstquell.de,Mon-Sun 11.00-24.00,,9832 9657
Franken Bräu Lorenz Bauer,Neundorf 41,Mitwitz-Neundorf,Upper,2035,1,1753,Brewery,0,50.26156,11.21368,http://www.frankenbraeu.de,,,9266 721
Freundeskreis Brauerei Adam Weller Erlangen,Theaterplatz 17,Erlangen,Middle,13598,1,2011,Client Brewer,0,49.601165,11.005525,http://www.weller-bier.de,,,
